BIC,ID,states
1005.2662389883935,1,1
1142.0408053757553,6,1
1476.73754856018,13,1
997.2421268976333,17,1
1523.0904890336412,19,1
2010.1002471350846,20,1
2196.8219770223072,25,1
1119.313960234748,26,1
859.0269500460208,27,1
1249.2587127046088,28,1
1416.2391187740914,41,1
930.512143780277,42,1
1430.5633899290694,43,1
1429.6291125867417,46,1
1029.542592202033,51,1
2111.1071506994917,53,1
1189.6787269418933,58,1
644.3748674745452,59,1
1719.31238125013,66,1
1444.0136743128503,71,1
2250.8758261033136,72,1
1755.9548687352726,73,1
1464.0541492420534,74,1
1908.0822488922602,75,1
928.900658129673,76,1
1607.8730701636732,78,1
927.58054697535,85,1
805.7865363675855,86,1
879.8110567904522,1,2
1147.140676793392,6,2
1399.1734809509242,13,2
981.8792244503725,17,2
1253.3859917188947,19,2
1948.4864330562991,20,2
2130.5110998744813,25,2
1082.6141780157175,26,2
833.5982457631324,27,2
1165.1439143832056,28,2
1271.2869407111286,41,2
906.3270905552929,42,2
1441.1240132819476,43,2
1386.8174823845839,46,2
1039.0867535108528,51,2
2038.897182627097,53,2
1170.063131018356,58,2
622.972915467642,59,2
1712.8741550356938,66,2
1360.5090281812213,71,2
2178.599081619088,72,2
1571.5708831629674,73,2
1383.3032955442698,74,2
1889.0409982113817,75,2
840.6275188407218,76,2
1564.2270090824218,78,2
921.1153566356018,85,2
814.9478522778038,86,2
879.0012791924144,1,3
1158.4523745089562,6,3
1384.1863916046102,13,3
994.5821477214305,17,3
1200.1383021807708,19,3
1950.0927114545532,20,3
2125.860128594279,25,3
1090.164428670898,26,3
848.3131106212826,27,3
1164.2669800960539,28,3
1253.2579225720328,41,3
919.1420283088283,42,3
1364.4394146640302,43,3
1399.9312324014459,46,3
1051.9185167593903,51,3
2037.621193730614,53,3
1181.7998114692941,58,3
635.9731196202328,59,3
1730.4048715524762,66,3
1356.989442180796,71,3
2181.3846965461285,72,3
1564.5597875810872,73,3
1390.0440823852111,74,3
1893.8041219460695,75,3
845.3627601175134,76,3
1576.3152372827687,78,3
926.039441911235,85,3
827.8229040572018,86,3
888.5635062201558,1,4
1170.9087801097146,6,4
1397.915660411506,13,4
1010.7030890229217,17,4
1203.354050252059,19,4
1966.6994475005165,20,4
2139.8067873116224,25,4
1101.1222643801852,26,4
864.3766451343544,27,4
1182.6994726724597,28,4
1257.441404830696,41,4
935.3601311920982,42,4
1383.1649104398439,43,4
1415.9878646492687,46,4
1068.060173106486,51,4
2045.4949099098424,53,4
1197.798768174031,58,4
652.1593918488057,59,4
1746.0257933863998,66,4
1371.2070746468128,71,4
2186.313820367541,72,4
1568.1684736184288,73,4
1399.4158806253527,74,4
1908.2527465879386,75,4
860.7971745763356,76,4
1573.700936510603,78,4
939.2599503569965,85,4
843.9179775985314,86,4
902.4181405371078,1,5
1190.1469573067898,6,5
1417.5211263824183,13,5
1030.1360548623134,17,5
1222.9722866593422,19,5
1985.679272661951,20,5
2157.16792379264,25,5
1125.4430206043994,26,5
883.6578330867158,27,5
1200.8129127107973,28,5
1285.2664983667485,41,5
953.9183995944652,42,5
1403.3337378937981,43,5
1435.2344494396193,46,5
1087.380821496962,51,5
2064.350277855563,53,5
1214.201751523265,58,5
672.1338180014673,59,5
1765.582070232891,66,5
1388.6284477417387,71,5
2215.905922193846,72,5
1585.9337108040597,73,5
1417.0824092893256,74,5
1926.087709316014,75,5
880.448313865943,76,5
1591.370985954959,78,5
958.87251349557,85,5
863.287577375124,86,5
