Stimulus,Bias,PC
-2.972982166111459,0.029227987183080575,-2.0771056458542683
-2.9737693015552176,0.029405002479757726,-2.0774897267886367
-2.9736728244637556,0.02939022957196117,-2.0774459478121314
-2.97362103332212,0.029561790038879317,-2.0773336146314465
-2.973827414220822,0.029408749976873858,-2.077511462441582
-2.9713416217944744,0.028867312186708315,-2.076465675400931
-2.973827077726632,0.029408748168228697,-2.0775112084877123
-2.9720643146095647,0.02889376597554836,-2.0768399692261164
-2.9736708180856763,0.029443907943911368,-2.0774274307377047
-2.973837125050996,0.02941082871130576,-2.077517239027157
-2.973824801465386,0.029410068300265133,-2.0775122875540797
-2.9738294870669155,0.02941029161164319,-2.0775143513526566
-2.973822443770774,0.029406896231583785,-2.077509126704353
-2.973827723374552,0.029412615649618206,-2.077512717457117
-2.9735906544672486,0.02937453547701986,-2.077404459143918
-2.9738381742900954,0.029411157821898938,-2.0775177898382053
-2.9737520385041254,0.029313239957986438,-2.077497482868838
-2.97383179268898,0.02941195337655659,-2.077514930520098
-2.973820648361544,0.029409201811214057,-2.077510221911143
-2.973062560501854,0.029478247283860063,-2.0771578860326976
-2.9738018847195127,0.029405504922990988,-2.0775015971695634
-2.973683990012229,0.02931357361749426,-2.0774706045660394
-2.973661694258517,0.02953118480227135,-2.0773794228929514
-2.973724223108436,0.029398489864623543,-2.0774691037372994
-2.9736725464529896,0.029389596329103637,-2.0774433247507327
-2.9719801108979262,0.02893885161094625,-2.0767961341758703
-2.971897819222383,0.0295459289157224,-2.07660814976404
-2.973822559700679,0.02940831778172327,-2.077510645625028
-2.9717794064956866,0.029054985432428314,-2.0766997415718484
-2.971405692812951,0.028901392723531642,-2.0766497058416213
-2.973142921977597,0.02975395393818008,-2.0769629667291434
-2.971526443912251,0.028895587329719124,-2.076688067677189
-2.9738209944111564,0.02940797578454265,-2.077510056882635
-2.9737911175322944,0.029404951615708302,-2.0774967227088923
-2.9720360659991765,0.028858939211499467,-2.076821202972913
-2.973820206281864,0.029408655623742022,-2.0775107315677763
-2.9738346342670243,0.02941312961499653,-2.07751564100458
-2.9737443026442434,0.029486807386039142,-2.077435388397526
-2.9737998755730484,0.02939519642808353,-2.0775013015257713
-2.973776366825856,0.029399918179317582,-2.077489142758438
-2.9732215465798433,0.02945144796120865,-2.077218085210863
-2.9719137425957145,0.02979268446444628,-2.0763598598110917
-2.9715044956390324,0.02874518737835991,-2.0766077430743364
-2.9732220782536234,0.02921665631464859,-2.077315208139768
-2.9706803923855185,0.02965961118731761,-2.076133039953467
-2.9736292239466047,0.029413241181958868,-2.077417426775312
-2.970642488781441,0.02859738671740211,-2.0762645171671408
-2.9732852605555657,0.029295265344348315,-2.077285941539867
-2.9738155185247246,0.029404508585269464,-2.0775042196491955
-2.9738241169270028,0.02941342759903985,-2.077510414364727
-2.973564667457031,0.02942185964424748,-2.0773894154902712
-2.971110375293848,0.02880365302245127,-2.0764416101719405
-2.9737954147074075,0.029404222769214557,-2.0774985535192743
-2.973204721802859,0.029266216858844514,-2.07727764932609
-2.973476685451271,0.029432565860958996,-2.0773441915073745
-2.9722551765773595,0.02924821429500401,-2.0768397776286833
-2.973818290534983,0.029407776051956765,-2.077507938560045
-2.9738328463878783,0.029411488086277512,-2.0775161184110496
-2.9738207566570023,0.029408664435735088,-2.0775076134935704
-2.973670368288554,0.029394631454884263,-2.0774438213896436
-2.973804794698649,0.029406492461197947,-2.0775034571107596
-2.9737825869639387,0.029369164616129678,-2.077500673394301
-2.9728681888393447,0.0296284211587473,-2.076938739191536
-2.9731860713468308,0.029257054408978356,-2.0772549949882766
-2.9736432466552207,0.029393535953282684,-2.077434437898797
-2.9737021542743807,0.02941078094982626,-2.0774527881886207
-2.971054618656106,0.02966961351836103,-2.0761862976423795
-2.973728734112168,0.02939311308400206,-2.077469098794053
-2.973818054565455,0.029414051563008317,-2.0775069391288254
-2.9720959306106396,0.028958201651704617,-2.0768583803035683
-2.9738320744946924,0.029411149928330573,-2.077515301095074
-2.9738099501823965,0.02940488241785268,-2.077504133511838
-2.973819202482538,0.02940905252894655,-2.0775098710805504
-2.9737605158347633,0.029412801732066066,-2.0774793720778373
-2.973030624245156,0.029475503233402898,-2.0771359185509493
-2.973794995971184,0.029407743461312516,-2.0774987360036534
-2.973797051189522,0.029405499548844024,-2.0774993744673584
-2.9737421378708744,0.02939978259268474,-2.077475770561774
-2.97382669359639,0.02940820761929154,-2.077512254261906
-2.9734055955351733,0.029439142156511888,-2.0773186094350407
-2.9734006277762726,0.029437674947631824,-2.0773157001083025
-2.971785704492715,0.02906806348847973,-2.0766644306401454
-2.9737853947137816,0.029310735711282055,-2.0775104948456864
-2.9737419670893126,0.02941443883440059,-2.0774676845466873
-2.9738206153480315,0.0294078323279677,-2.077509854300421
-2.9738355082355064,0.02941095880006312,-2.0775167739459035
-2.9738338523366186,0.02941022320382696,-2.077515594575232
-2.9738277040017165,0.02940781783845237,-2.0775123062264687
-2.9732096087828226,0.028902435538447967,-2.077275896340027
-2.9712030424646345,0.02950754799752773,-2.076490117487069
-2.973809036650907,0.02940672044300607,-2.077504426924476
-2.9722264194830643,0.028803678183260944,-2.0768957392222362
-2.9737576827698806,0.02945416842077924,-2.077464274547573
-2.9736939751999034,0.029413733173814592,-2.077434919614429
-2.9738134518790993,0.029414084392275767,-2.0775044545560823
-2.973769125394849,0.029400668417852004,-2.077486724146979
-2.9738346161235323,0.02941149519028159,-2.0775167862117994
-2.9738363617273156,0.029410659345622592,-2.0775168961390955
-2.9734373153455853,0.029413324854122496,-2.07731345715175
-2.973826622425422,0.029409355256521906,-2.0775127535500375
